,Policy,Hit rate
0,linked.Clock,"33,24"
1,linked.Clock_ThresholdAdmittor,"23,24"
2,linked.Clock_TinyLfu,"47,57"
3,linked.Clock_TinyLfuCostMulti,"23,27"
4,linked.Clock_TinyLfuEqCost,"22,65"
5,linked.Fifo,"28,42"
6,linked.Fifo_ThresholdAdmittor,"7,22"
7,linked.Fifo_TinyLfu,"26,56"
8,linked.Fifo_TinyLfuCostMulti,"21,01"
9,linked.Fifo_TinyLfuEqCost,"19,23"
10,linked.Lfu,"40,58"
11,linked.Lfu_ThresholdAdmittor,"22,23"
12,linked.Lfu_TinyLfu,"48,55"
13,linked.Lfu_TinyLfuCostMulti,"35,01"
14,linked.Lfu_TinyLfuEqCost,"34,85"
15,linked.Lru,"32,97"
16,linked.Lru_ThresholdAdmittor,"6,75"
17,linked.Lru_TinyLfu,"47,57"
18,linked.Lru_TinyLfuCostMulti,"21,62"
19,linked.Lru_TinyLfuEqCost,"19,75"
20,linked.Mfu,"26,92"
21,linked.Mfu_ThresholdAdmittor,"0,03"
22,linked.Mfu_TinyLfu,"26,55"
23,linked.Mfu_TinyLfuCostMulti,"0,63"
24,linked.Mfu_TinyLfuEqCost,"0,49"
25,linked.Mru,"13,31"
26,linked.Mru_ThresholdAdmittor,"0,88"
27,linked.Mru_TinyLfu,"39,01"
28,linked.Mru_TinyLfuCostMulti,"2,73"
29,linked.Mru_TinyLfuEqCost,"2,90"
30,product.Cache2k,"44,25"
31,product.Caffeine,"47,31"
32,product.ElasticSearch,"32,96"
33,product.Guava,"37,60"
34,sampled.Fifo,"28,33"
35,sampled.Fifo_ThresholdAdmittor,"26,55"
36,sampled.Fifo_TinyLfu,"47,12"
37,sampled.Fifo_TinyLfuCostMulti,"47,12"
38,sampled.Fifo_TinyLfuEqCost,"47,12"
39,sampled.Hyperbolic,"35,91"
40,sampled.Hyperbolic_ThresholdAdmittor,"26,55"
41,sampled.Hyperbolic_TinyLfu,"45,55"
42,sampled.Hyperbolic_TinyLfuCostMulti,"45,55"
43,sampled.Hyperbolic_TinyLfuEqCost,"45,55"
44,sampled.Lfu,"42,00"
45,sampled.Lfu_ThresholdAdmittor,"26,55"
46,sampled.Lfu_TinyLfu,"45,55"
47,sampled.Lfu_TinyLfuCostMulti,"45,55"
48,sampled.Lfu_TinyLfuEqCost,"45,55"
49,sampled.Lru,"32,74"
50,sampled.Lru_ThresholdAdmittor,"26,55"
51,sampled.Lru_TinyLfu,"48,42"
52,sampled.Lru_TinyLfuCostMulti,"48,42"
53,sampled.Lru_TinyLfuEqCost,"48,42"
54,sampled.Mfu,"25,58"
55,sampled.Mfu_ThresholdAdmittor,"26,55"
56,sampled.Mfu_TinyLfu,"47,01"
57,sampled.Mfu_TinyLfuCostMulti,"47,01"
58,sampled.Mfu_TinyLfuEqCost,"47,01"
59,sampled.Mru,"17,86"
60,sampled.Mru_ThresholdAdmittor,"26,55"
61,sampled.Mru_TinyLfu,"40,86"
62,sampled.Mru_TinyLfuCostMulti,"40,86"
63,sampled.Mru_TinyLfuEqCost,"40,86"
64,sampled.Random,"28,77"
65,sampled.Random_ThresholdAdmittor,"26,55"
66,sampled.Random_TinyLfu,"48,51"
67,sampled.Random_TinyLfuCostMulti,"48,51"
68,sampled.Random_TinyLfuEqCost,"48,51"
