Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
linked.Clock,"33,24",402490.0,808544.0,1211034.0,808362.0,100,11403751424.0,"17,68",0.0,0.0,1840141.0,721.0
linked.Clock_TinyLfu,"47,57",576116.0,634918.0,1211034.0,634727.0,"0,01",11403751424.0,"20,41",0.0,0.0,1211455.0,613.0
linked.Fifo,"28,42",344136.0,866898.0,1211034.0,866717.0,100,11403751424.0,"15,66",0.0,0.0,1600384.0,507.0
linked.Fifo_TinyLfu,"26,56",321620.0,889414.0,1211034.0,889225.0,0,11403751424.0,"11,55",0.0,0.0,1211035.0,1050.0
linked.Lfu,"40,58",491389.0,719478.0,1210867.0,719452.0,100,11362803712.0,"19,96",0.0,0.0,1509402.0,825.0
linked.Lfu_TinyLfu,"48,55",587917.0,622950.0,1210867.0,622923.0,"0,02",11362803712.0,"18,27",0.0,0.0,1211314.0,1154.0
linked.Lru,"32,97",399255.0,811779.0,1211034.0,811598.0,100,11403751424.0,"17,63",0.0,0.0,1575783.0,672.0
linked.Lru_TinyLfu,"47,57",576125.0,634909.0,1211034.0,634719.0,"0,01",11403751424.0,"20,45",0.0,0.0,1211069.0,826.0
linked.Mfu,"26,92",325972.0,884895.0,1210867.0,884882.0,100,11362803712.0,"15,07",0.0,0.0,1600176.0,720.0
linked.Mfu_TinyLfu,"26,55",321536.0,889331.0,1210867.0,889309.0,0,11362803712.0,"11,58",0.0,0.0,1211223.0,1188.0
linked.Mru,"13,31",161237.0,1049797.0,1211034.0,1049608.0,100,11403751424.0,"7,86",0.0,0.0,1591606.0,922.0
linked.Mru_TinyLfu,"39,01",472444.0,738590.0,1211034.0,738391.0,"0,01",11403751424.0,"14,03",0.0,0.0,1211064.0,772.0
sampled.Fifo,"28,33",343015.0,867852.0,1210867.0,867837.0,100,11362803712.0,"15,68",0.0,0.0,8153730.0,1927.0
sampled.Fifo_TinyLfu,"47,12",570522.0,640345.0,1210867.0,640317.0,0,11362803712.0,"17,74",0.0,0.0,6333570.0,1900.0
sampled.Hyperbolic,"35,91",434867.0,776000.0,1210867.0,775981.0,100,11362803712.0,"18,17",0.0,0.0,7418882.0,2186.0
sampled.Hyperbolic_TinyLfu,"45,55",551558.0,659309.0,1210867.0,659287.0,"0,01",11362803712.0,"19,69",0.0,0.0,6485330.0,2304.0
sampled.Lfu,42,508555.0,702312.0,1210867.0,702292.0,100,11362803712.0,"20,78",0.0,0.0,6829370.0,2209.0
sampled.Lfu_TinyLfu,"45,55",551560.0,659307.0,1210867.0,659285.0,"0,01",11362803712.0,"19,69",0.0,0.0,6485314.0,2327.0
sampled.Lru,"32,74",396468.0,814399.0,1210867.0,814385.0,100,11362803712.0,"17,59",0.0,0.0,7726114.0,2456.0
sampled.Lru_TinyLfu,"48,42",586282.0,624585.0,1210867.0,624561.0,"0,01",11362803712.0,"20,52",0.0,0.0,6207522.0,1940.0
sampled.Mfu,"25,58",309706.0,901161.0,1210867.0,901149.0,100,11362803712.0,"13,81",0.0,0.0,8420226.0,2237.0
sampled.Mfu_TinyLfu,"47,01",569201.0,641666.0,1210867.0,641636.0,0,11362803712.0,"19,18",0.0,0.0,6344122.0,2114.0
sampled.Mru,"17,86",216312.0,994555.0,1210867.0,994538.0,100,11362803712.0,"8,35",0.0,0.0,9167338.0,2601.0
sampled.Mru_TinyLfu,"40,86",494712.0,716155.0,1210867.0,716125.0,"0,02",11362803712.0,"14,85",0.0,0.0,6940034.0,1917.0
sampled.Random,"28,77",348377.0,862490.0,1210867.0,862468.0,100,11362803712.0,"15,07",0.0,0.0,1211034.0,838.0
sampled.Random_TinyLfu,"48,51",587446.0,623421.0,1210867.0,623394.0,"0,01",11362803712.0,"18,23",0.0,0.0,1211034.0,1079.0
linked.Lfu_ThresholdAdmittor1,"46,15",558798.0,652069.0,1210867.0,652046.0,"25,32",11362803712.0,"20,32",0.0,0.0,1275914.0,1501.0
linked.Lfu_ThresholdAdmittor2,"46,44",562314.0,648553.0,1210867.0,648525.0,"42,4",11362803712.0,"21,08",0.0,0.0,1320259.0,1448.0
linked.Lfu_ThresholdAdmittor3,"46,06",557694.0,653173.0,1210867.0,653146.0,"53,66",11362803712.0,"21,45",0.0,0.0,1353246.0,1432.0
linked.Lfu_ThresholdAdmittor4,"45,3",548522.0,662345.0,1210867.0,662315.0,"49,67",11362803712.0,"21,01",0.0,0.0,1350060.0,1770.0
linked.Lfu_ThresholdAdmittor5,"44,98",544677.0,666190.0,1210867.0,666163.0,"49,85",11362803712.0,"21,11",0.0,0.0,1354249.0,1551.0
linked.Lfu_ThresholdAdmittor6,"45,42",550012.0,660855.0,1210867.0,660828.0,"70,61",11362803712.0,"21,65",0.0,0.0,1403330.0,1745.0
linked.Lfu_ThresholdAdmittor7,"45,13",546434.0,664433.0,1210867.0,664410.0,"70,91",11362803712.0,"21,41",0.0,0.0,1407940.0,1324.0
linked.Lfu_ThresholdAdmittor8,"44,42",537832.0,673035.0,1210867.0,673005.0,"50,04",11362803712.0,"20,67",0.0,0.0,1360326.0,1606.0
linked.Lfu_ThresholdAdmittor9,"44,53",539230.0,671637.0,1210867.0,671615.0,"78,38",11362803712.0,"21,46",0.0,0.0,1430405.0,1637.0
linked.Lfu_ThresholdAdmittor10,"44,2",535157.0,675710.0,1210867.0,675682.0,"50,23",11362803712.0,"20,47",0.0,0.0,1363726.0,1268.0
linked.Lfu_ThresholdAdmittor15,"44,48",538595.0,672272.0,1210867.0,672247.0,"85,36",11362803712.0,"21,26",0.0,0.0,1448724.0,1808.0
